"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"80","24809284","日商和譚合同有限公司","臺中市北區中清路1段89號15樓之5","中村吉美","0","1050329"
"81","24809313","貝里斯商怡泰有限公司","臺北市信義區基隆路1段101巷3號7樓","龔泰戊","0","1050329"
"82","24809329","日商太陽氟素股份有限公司","臺北市中山區中山北路2段59巷45號3樓之5","深串徹","0","1050329"
"83","24809340","法商法樂克有限公司","臺中市大雅區民生路3段133-4號2樓","戴恩","0","1050329"
"84","24809355","璽林建設有限公司","金門縣金城鎮珠沙里和平新村36號","黃信義","1000000","1050330"
"85","24809377","宏建建設有限公司","金門縣金寧鄉埔後31號","王勝平","2000000","1050330"
"86","24809382","英屬維京群島商興昂鞋業有限公司","臺中市西屯區朝富路213號16樓之9","蕭志怡","5000000","1050330"
"87","24809411","香港商艾拉物聯網路有限公司","臺北市大安區忠孝東路4段166號10樓","張南雄","10000000","1050330"
"88","24921300","錂角科技有限公司","臺南市永康區西橋里大橋三街57巷36弄3號","林彥伶","1000000","1050301"
"89","24921316","瑞隆水電工程有限公司","臺南市東區崇學里崇德四街三巷17號1樓","蕭為誠","1000000","1050226"
"90","24921322","太鼎科技有限公司","臺南市中西區府前路一段18號4樓之2","陳男傑","500000","1050301"
"91","24921337","超級高科技有限公司","臺南市永康區中華里忠義街60巷3號九樓之11","梅可人","350000","1050301"
"92","24921343","榮福企業有限公司","臺南市南區喜東里明興路382巷9號1樓","陳伯煒","500000","1050301"
"93","24921358","萬昌農產實業有限公司","臺南市學甲區慈福里中華路2段281號1樓","李錦昌","18000000","1050301"
"94","24921364","利河伯有限公司","臺南市永康區尚頂里33鄰中正南路349巷68之3號2樓","張錦樹","500000","1050301"
"95","24921370","品發物業開發有限公司","臺南市安平區永華路二段721號","陳冠印","500000","1050301"
"96","24921385","眾信五金有限公司","臺南市安南區功安一街73號1樓","楊政憲","1000000","1050301"
"97","24921391","薄雪萊礦泉水事業有限公司","臺南市北區成德里育德二路810巷2弄3號1樓","吳啓翎","5000000","1050301"
"98","24921408","家餚有限公司","臺南市東區裕聖里裕忠路317號1樓","陳志榮","500000","1050301"
"99","24921414","禾安精密有限公司","臺南市安南區淵西里安中路四段320巷105號1樓","朱凌政","1000000","1050301"
"100","24921420","旺勳通信有限公司","臺南市東區崇德里崇德路489號","郭仕宏","100000","1050301"
"101","24921435","協鈦科技有限公司","臺南市新市區永就里光華街5之53號","鄭山龍","20000000","1050301"
"102","24921456","諾亞方舟餐飲股份有限公司","臺南市東區大學路18巷11號","毛耀呈","2000000","1050302"
"103","24921462","銓華環保有限公司","臺南市歸仁區六甲里中正十八街36號1樓","龔玉華","2000000","1050301"
"104","24921478","日翔生技有限公司","臺南市永康區網寮里永和街238巷22弄5號4樓","洪梓晏","60000","1050302"
"105","24921483","繁丞科技有限公司","臺南市歸仁區後市里國光街97號1樓","翁羽婕","5000000","1050302"
"106","24921499","凱特倈科技有限公司","臺南市東區中西里勝利路8-5號2樓","李明亮","1000000","1050302"
"107","24921505","澄嶧空間設計有限公司","臺南市永康區東橋里東橋七路157號1樓","劉冠緯","60000","1050302"
"108","24921511","方家宮韓式料理有限公司","臺南市東區富強里中華東路二段238號1樓","張紋嘉","5000000","1050302"
"109","24921527","統鶴生物科技企業有限公司","臺南市永康區西灣里永大路二段211號1樓","曹鶴鳴","5000000","1050302"
"110","24921532","燁成實業有限公司","臺南市將軍區長榮里長榮179之26號","林冬發","1000000","1050302"
"111","24921548","巽揚機械有限公司","臺南市永康區三民里三民街18巷11號1樓","郭珮甄","1000000","1050302"
"112","24921553","阿米哥建築股份有限公司","臺南市永康區正強里自強路215號1樓","林坤正","5000000","1050302"
"113","24921569","興豐科技有限公司","臺南市安平區建平里永華三街333號9樓之2","江柏翰","3000000","1050302"
"114","24921575","康庭餐飲有限公司","臺南市仁德區後壁里德南路22巷9弄13號1樓","吳冠儀","300000","1050303"
"115","24921580","捷泰興業有限公司","臺南市中西區西賢五街78號1樓","陳淑慧","100000","1050303"
"116","24921596","神暘工程有限公司","臺南市歸仁區武東里中正南路2段6巷8號2樓","黃以瑄","1000000","1050303"
"117","24921603","全方位企業有限公司","臺南市佳里區鎮山里佳東路39號1樓","余冠良","1000000","1050302"
"118","24921619","坤達菸酒企業有限公司","臺南市東區東平路15號1樓","蔡昆龍","1000000","1050303"
"119","24921625","晟鋼工程有限公司","臺南市仁德區上崙里中正路1段766巷50弄15號1樓","楊玟璟","3000000","1050302"
"120","24921630","恒泰策略股份有限公司","臺南市新市區新和里仁愛街255號2樓","王敬勳","3710000","1050303"
"121","24921646","中佃金屬焊材有限公司","臺南市安南區淵東里安中路3段400巷187號1樓","張惠美","500000","1050303"
"122","24921651","進宥五金有限公司","臺南市安定區港南里18鄰港口238之29號1樓","潘文正","1000000","1050302"
"123","24921667","帕泰國際整合行銷有限公司","臺南市中西區神農街89號","黃俊瑋","500000","1050303"
"124","24921673","太子加油站有限公司","臺南市關廟區南雄路一段589號","胡杰誌","3500000","1050303"
"125","24921688","宇澤一科技有限公司","臺南市東區自由路二段175巷51弄42號1、2樓","陳俊銘","5000000","1050303"
"126","24921694","旭發開發建設有限公司","臺南市安平區海頭里安北路156號","曾鼎鈞","2000000","1050303"
"127","24921701","冠原工程有限公司","臺南市麻豆區安正里4鄰方厝寮38之31號1樓","馬瑛瑜","1000000","1050303"
"128","24921717","裕群精密科技有限公司","臺南市安平區國平里育平五街6號21樓之6","戴明宗","3200000","1050303"
"129","24921723","明大工程有限公司","臺南市安南區安富里府安路五段230巷20號1樓","郭金龍","168000","1050303"
"130","24921759","維婗國際貿易有限公司","臺南市永康區東橋里東橋五路72巷16號1樓","林建彰","1000000","1050304"
"131","24921765","川活耀企業有限公司","臺南市安平區平安里安北路4號1樓","李青育","2000000","1050304"
"132","24921771","人生有趣有限公司","臺南市東區東智里崇德里崇德三十一街7號1樓","凌敬揆","500000","1050303"
"133","24921786","嘉勳建設開發有限公司","臺南市歸仁區成功路一段146號1樓","張倍嘉","500000","1050304"
"134","24921792","亞瑪精品建材有限公司","臺南市東區府連路344巷25弄31號1樓","王紹謙","1000000","1050304"
"135","24921809","漢錮工程企業有限公司","臺南市永康區龍潭里自強路850號1樓","林曾芯慧","1000000","1050303"
"136","24921815","麗開模具有限公司","臺南市永康區鹽行里中正二街250號","郭家榮","600000","1050304"
"137","24921821","冠雅空間設計有限公司","臺南市新化區民治路43巷5號","林新諭","250000","1050304"
"138","24921836","烤友社企業有限公司","臺南市柳營區篤農里小脚腿173號之20","陳靜怡","200000","1050307"
"139","24921842","阿傑國際有限公司","臺南市永康區區五王里成功路172巷33號1樓","賀常姗","1000000","1050304"
"140","24921857","液體麵包有限公司","臺南市中西區天后里永福路二段227巷21號1樓","程冠智","360000","1050304"
"141","24921863","金將物業管理顧問有限公司","臺南市永康區文化路86號2樓","翟榮彥","3000000","1050307"
"142","24921879","聯晨國際股份有限公司","臺南市永康區大勇路76巷25號1樓","洪愛雅","2000000","1050304"
"143","24921884","鴻利開發有限公司","臺南市永康區自強路491-12號","黃惠萍","2000000","1050304"
"144","24921890","搖滾小子創意服飾有限公司","臺南市北區實踐里長榮路五段316號3樓之1","王美崙","900000","1050304"
"145","24921907","文耀有限公司","臺南市永康區尚頂里22鄰大武街72號12樓之2","黃如淑","600000","1050304"
